1	48000000	52000000	Region1
2	86000000	100500000	Region2
2	134500000	138000000	Region3
2	183000000	190000000	Region4
3	47500000	50000000	Region5
3	83500000	87000000	Region6
3	89000000	97500000	Region7
5	44500000	50500000	Region8
5	98000000	100500000	Region9
5	129000000	132000000	Region10
5	135500000	138500000	Region11
6	25000000	35000000	Region12
6	57000000	64000000	Region13
6	140000000	142500000	Region14
7	55000000	66000000	Region15
8	7000000	13000000	Region16
8	43000000	50000000	Region17
8	112000000	115000000	Region18
10	37000000	43000000	Region19
11	46000000	57000000	Region20
11	87500000	90500000	Region21
12	33000000	40000000	Region22
12	109500000	112000000	Region23
20	32000000	34500000	Region24
